sid,province,city,lon,lat,code
53068,内蒙古,二连浩特,111.93333333333334,43.63333333333334,OJrdF
53083,内蒙古,那仁宝力格,114.15,44.61666666666666,prTEI
53192,内蒙古,阿巴嘎旗,115.0,44.016666666666666,JokSy
53231,内蒙古,海力素,106.4,41.400000000000006,JwQIK
53289,内蒙古,镶黄旗,113.83333333333331,42.23333333333333,OWEcY
53336,内蒙古,乌拉特中旗,108.51666666666668,41.56666666666667,BdifC
53337,内蒙古,五原,108.46666666666668,41.08333333333333,mWFOR
53348,内蒙古,大佘太,109.13333333333333,41.016666666666666,yIiHA
53357,内蒙古,固阳,110.1,41.03333333333334,WyJDB
53367,内蒙古,希拉穆仁,111.23333333333332,41.31666666666666,cixAo
53378,内蒙古,察右中旗,112.61666666666667,41.28333333333334,bmgqt
53384,内蒙古,察右后旗,113.18333333333334,41.45,kCGgC
53385,内蒙古,商都,113.53333333333332,41.583333333333336,gBnSb
53391,内蒙古,化德,114.0,41.9,wsLwr
53392,河北,康保,114.58333333333331,41.85,KcroZ
53397,河北,尚义,113.98333333333332,41.1,BukSn
53399,河北,张北,114.7,41.150000000000006,Ykfmn
53419,内蒙古,磴口,107.0,40.333333333333336,CaZRE
53420,内蒙古,杭锦后旗,107.11666666666666,40.85,nxQJT
53433,内蒙古,乌拉特前旗,108.65,40.73333333333333,qxqVQ
53457,内蒙古,达拉特旗,110.03333333333332,40.400000000000006,GQBuT
53463,内蒙古,呼和浩特,111.56666666666668,40.85,IlyWx
53464,内蒙古,土默特左旗,111.16666666666666,40.71666666666667,XSgaX
53469,内蒙古,和林格尔县,111.81666666666666,40.400000000000006,zubiG
53472,内蒙古,卓资,112.56666666666668,40.866666666666674,BQQKj
53475,内蒙古,凉城,112.46666666666668,40.51666666666667,uZabW
53478,山西,右玉,112.45,40.0,cXBlU
53480,内蒙古,集宁,113.06666666666668,41.03333333333334,pZpJB
53483,内蒙古,兴和,113.83333333333331,40.866666666666674,BtVpC
53484,内蒙古,丰镇,113.15,40.45,uGHht
53486,山西,阳高,113.76666666666664,40.36666666666667,jLWui
53487,山西,大同,113.41666666666669,40.08333333333333,VZgct
53490,山西,天镇,114.05,40.43333333333333,qtSfk
53491,河北,怀安,114.38333333333334,40.66666666666666,GKAfR
53492,河北,阳原,114.15,40.1,daicd
53498,河北,宣化,115.03333333333332,40.56666666666667,bLxvu
53499,河北,万全,114.73333333333332,40.766666666666666,nXeQi
53512,内蒙古,乌海,106.8,39.8,HfJln
53513,内蒙古,临河,107.36666666666666,40.73333333333333,lqHEq
53518,宁夏,石嘴山,106.35,39.03333333333334,jNMZg
53519,宁夏,惠农,106.76666666666664,39.21666666666667,eJNvo
53522,内蒙古,伊克乌素,107.83333333333331,40.05,QDdlB
53529,内蒙古,鄂托克旗,107.96666666666668,39.08333333333333,EoybG
53533,内蒙古,杭锦旗,108.71666666666668,39.81666666666667,SycQs
53543,内蒙古,东胜,109.98333333333332,39.833333333333336,RPPfG
53545,内蒙古,伊金霍洛旗,109.71666666666668,39.56666666666667,bavSd
53553,内蒙古,准格尔旗,111.21666666666664,39.866666666666674,mrfbj
53564,山西,河曲,111.21666666666664,39.36666666666667,HvYyw
53565,山西,偏关,111.5,39.43333333333333,ygqJc
53567,陕西,府谷,111.0,39.016666666666666,Nudny
53573,山西,左云,112.7,40.0,bkbPS
53574,山西,平鲁,112.26666666666668,39.51666666666667,oJway
53575,山西,神池,112.2,39.1,tBsIw
53576,山西,山阴,112.81666666666666,39.49999999999999,KXQMd
53577,山西,宁武,112.3,39.0,CRNDj
53578,山西,朔州,112.43333333333334,39.36666666666667,OtlfP
53579,山西,代县,112.9,39.016666666666666,atrjZ
53582,山西,浑源,113.66666666666669,39.71666666666667,uWhuB
53584,山西,应县,113.16666666666666,39.56666666666667,LVEDc
53585,山西,繁峙,113.26666666666668,39.16666666666667,OTNAe
53588,山西,五台山,113.51666666666668,38.95,sxucp
53590,山西,广灵,114.26666666666668,39.75000000000001,pbxDH
53593,河北,蔚县,114.56666666666668,39.833333333333336,YbKUt
53594,山西,灵丘,114.18333333333334,39.45,cyeJN
53596,河北,顺平,115.15,38.91666666666666,AFgnu
53599,河北,涞源,114.68333333333332,39.36666666666667,ZdmWW
53610,宁夏,贺兰,106.35,38.56666666666667,RqsAG
53611,宁夏,平罗,106.55,38.88333333333333,yEKbm
53612,宁夏,吴忠,106.18333333333334,37.98333333333334,VXPXK
53614,宁夏,银川,106.2,38.46666666666667,LqTRN
53615,宁夏,陶乐,106.7,38.8,wODLX
53617,宁夏,青铜峡,106.08333333333331,38.03333333333334,zlWii
53618,宁夏,永宁,106.25,38.28333333333334,RokyE
53619,宁夏,灵武,106.3,38.11666666666667,HYEJD
